"Stylist's Earned Amount","Stylist's Earned Amount"
"Commission Fee","Commission Fee"
"Order At","Order At"
"Ack Status","Ack Status"
"Ack On","Ack On"
"Stylist ID","Stylist ID"
"Amount Received","Amount Received"
"Payment Mode","Payment Mode"
"Stylist Id","Stylist Id"
"Stylist Email","Stylist Email"
"Review ID","Review ID"
"Rating","Rating"
"Activate Stylisthub","Activate Stylisthub"
"Enter License Key","Enter License Key"
"Email ID","Email ID"
"Stylist Approval","Stylist Approval"
"Select Stylist Registration Email Template","Select Stylist Registration Email Template"
" Select Admin Approval Email Template "," Select Admin Approval Email Template "
"Select Admin Disapproval Email Template","Select Admin Disapproval Email Template"
"Select Contact Admin Email Template","Select Contact Admin Email Template"
"Sales Email Notification","Sales Email Notification"
"Select Sales Notification Email Template","Select Sales Notification Email Template"
"Display stylist profile link in product detail page","Display stylist profile link in product detail page"
"Display Popular Product in stylist profile page","Display Popular Product in stylist profile page"
"Display New Product in stylist profile page","Display New Product in stylist profile page "
"Display Category link in stylist profile page","Display Category link in stylist profile page"
"Product Configuration","Product Configuration"
"Stylist Configuration","Stylist Configuration"
"General Configuration","General Configuration"
"Product Auto Approval","Product Auto Approval" 
"Select Product Type(s)","Select Product Type(s)
"Product Custom Option","Product Custom Option"
"New Product Email Notification","New Product Email Notification"
"Select Email Template for New Product Added Notification","Select Email Template for New Product Added Notification"
"Select Email Template for New Product Approval Notification","Select Email Template for New Product Approval Notification"
"Product Enabled/Disabled Email Notification","Product Enabled/Disabled Email Notification"
"Select Email Template for Product Enabled Notification","Select Email Template for Product Enabled Notification"
"Stylist Review","Stylist Review"
"Enable Stylist Review","Enable Stylist Review"
"Select Email Template for New Review Notification","Select Email Template for New Review Notification"
"Select Email Template for Review Approval Notification","Select Email Template for Review Approval Notification"
"Product Auto Approval","Product Auto Approval"
"Need Admin Approval","Need Admin Approval"
"Stylist Registration Notification","Stylist Registration Notification"
"Admin Approval Notification","Admin Approval Notification"
"Admin Disapproval Notification","Admin Disapproval Notification"
"Sales Notification","Sales Notification"
"(Press Ctrl+Select to select multiple product types)","(Press Ctrl+Select to select multiple product types)"
"New Product Added Notification","New Product Added Notification"
"New Product Approval Notification","New Product Approval Notification"
"Product Enabled Notification","Product Enabled Notification"
"Product Disabled Notification","Product Disabled Notification"
"New Review Notification","New Review Notification"
"Review Approval Notification","Review Approval Notification"
"Enable Stylist Review in stylist profile page","Enable Stylist Review in stylist profile page"
"Go to System -> Configuration ->Store Email Addresses","Go to System -> Configuration ->Store Email Addresses"
"New Product Added Notification","New Product Added Notification"
"Simple","Simple"
"Virtual","Virtual"
"Downloadable","Downloadable"
"Select Email Template for Product Disabled Notification","Select Email Template for Product Disabled Notification"
"SMD","SMD",
"Rate and leave feedback for stylist store","Rate and leave feedback for stylist store"
"Feedback about stylist:","Feedback about stylist:"
"Rate Stylist:","Rate Stylist:"
"Reviews and Ratings of %s","Reviews and Ratings of %s"
"View all Reviews","View all Reviews"
"Share with Google+","Share with Google+"
"Share with Facebook","Share with Facebook"
"Review %s Store","Review %s Store"
"Write a Review to this Stylist","Write a Review to this Stylist"
"Have you bought something from this stylist?","Have you bought something from this stylist?"
"Login to Review","Login to Review"
"All Products","All Products"
"Credit","Credit"
"Reviewed On","Reviewed On"
"Shipping Address Not Applicable","Shipping Address Not Applicable"
"Shipping Method Not Applicable","Shipping Method Not Applicable"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Manage Deals","Manage Deals"
"Vacation Mode","Vacation Mode"
"My Vacation","My Vacation"
"Vacation Configuration","Vacation Configuration"
"Vacation Status","Vacation Status"
"Vacation Message","Vacation Message"
"Disable Products","Disable Products"
"From Date","From Date"
"To Date","To Date"
"YES","YES"
"NO","NO"
"Average Ratings","Average Ratings"
"SKU","SKU"
"Qty","Qty"
"Type","Type"
"Products of ","Products of "
"Customer Since","Customer Since"
"Email","Email"
"Products","Products"
"Reviews and Ratings","Reviews and Ratings"
"Configuration","Configuration"
"Comments","Comments"
"Reviewed On","Reviewed On"
"Product ID","Product ID"
"Review","Review"
"Customer ID","Customer ID"
"Enable Product Sold Count","Enable Product Sold Count"
"Allow stylist to set product as home page banner images","Allow stylist to set product as home page banner images"
"Select Cancel Order Notification Email Template","Select Cancel Order Notification Email Template"
"Cancel Order Email Notification","Cancel Order Email Notification"
"Enable Stylist Vacation Mode","Enable Stylist Vacation Mode"
"New Stylist Registration Email Template","New Stylist Registration Email Template"
"Need Admin Approval for Stylist Registration","Need Admin Approval for Stylist Registration"
"Enter Facebook page","Enter Facebook page"
"Enter Twitter page","Enter Twitter page"
"Enter Google page","Enter Google page"
""More than 10 available","More than 10 available"
"sold","sold"
"More stylists selling this product","More stylists selling this product"
"View all stylists","View all stylists"
"Stylist Information","Stylist Information"
"Product Information","Product Information"
"Minimum starting price is ","Minimum starting price is "
"Cart","Cart"
" Feedback"," Feedback"
" Feedbacks"," Feedbacks"
"Available Stylists ","Available Stylists "
"with minimum starting price is ","with minimum starting price is "
"Back to Product Information","Back to Product Information"
"Compare Price by assigning existing product[s]","Compare Price by assigning existing product[s]"
" based on "," based on "
" rating[s]"," rating[s]"
"Register as stylist ","Register as stylist "
"Become a stylist","Become a stylist"
"Account Dashboard","Account Dashboard"
"I agree the Terms and Condition","I agree the Terms and Condition"
"Terms and Condition","Terms and Condition"
"Stylist Reviews","Stylist Reviews"
"You have not review any stylist","You have not review any stylist"
